app_name,start_time,end_time,timedelta,productive
VSCode,2022-07-26 03:31:30,2022-07-26 07:24:35,0 days 03:53:05,True
google.com,2023-08-10 12:20:08,2023-08-10 12:43:00,0 days 00:22:52,True
VSCode,2022-05-25 11:30:59,2022-05-25 14:09:30,0 days 02:38:31,True
Cursor,2024-10-03 06:44:43,2024-10-03 08:30:03,0 days 01:45:20,True
VSCode,2024-09-25 20:05:52,2024-09-25 20:52:41,0 days 00:46:49,True
youtube.com,2022-10-21 15:07:13,2022-10-21 17:51:25,0 days 02:44:12,False
VSCode,2023-09-16 10:44:40,2023-09-16 11:26:29,0 days 00:41:49,True
Cursor,2022-12-26 12:37:30,2022-12-26 15:10:44,0 days 02:33:14,True
youtube.com,2023-09-28 07:13:33,2023-09-28 08:42:54,0 days 01:29:21,False
tiktok.com,2022-01-29 09:52:35,2022-01-29 10:26:44,0 days 00:34:09,False
youtube.com,2022-10-07 15:11:18,2022-10-07 18:32:10,0 days 03:20:52,False
youtube.com,2022-09-01 13:16:25,2022-09-01 13:36:50,0 days 00:20:25,False
Cursor,2023-04-26 19:01:02,2023-04-26 22:20:22,0 days 03:19:20,True
Cursor,2023-03-08 12:46:02,2023-03-08 15:20:15,0 days 02:34:13,True
google.com,2022-02-20 19:58:30,2022-02-20 22:18:17,0 days 02:19:47,True
tiktok.com,2022-05-11 09:10:08,2022-05-11 10:55:23,0 days 01:45:15,False
Terminal,2023-04-29 18:59:32,2023-04-29 21:17:05,0 days 02:17:33,True
VSCode,2024-07-06 14:47:39,2024-07-06 17:39:28,0 days 02:51:49,True
Cursor,2024-03-03 01:25:21,2024-03-03 01:59:53,0 days 00:34:32,True
Terminal,2022-06-20 00:55:13,2022-06-20 01:02:41,0 days 00:07:28,True
Cursor,2024-07-27 17:14:18,2024-07-27 20:43:31,0 days 03:29:13,True
Cursor,2023-02-18 09:10:13,2023-02-18 10:36:50,0 days 01:26:37,True
Terminal,2023-01-07 16:53:46,2023-01-07 18:26:54,0 days 01:33:08,True
youtube.com,2022-11-01 00:29:51,2022-11-01 02:19:12,0 days 01:49:21,False
google.com,2023-06-26 13:11:29,2023-06-26 15:36:38,0 days 02:25:09,True
Cursor,2024-01-22 02:18:07,2024-01-22 05:26:28,0 days 03:08:21,True
youtube.com,2024-10-23 03:13:47,2024-10-23 03:54:45,0 days 00:40:58,False
Terminal,2022-03-25 06:12:42,2022-03-25 07:12:20,0 days 00:59:38,True
Cursor,2022-12-05 17:15:06,2022-12-05 17:55:26,0 days 00:40:20,True
youtube.com,2022-03-01 05:55:52,2022-03-01 06:38:16,0 days 00:42:24,False
Cursor,2024-01-04 01:00:37,2024-01-04 03:41:05,0 days 02:40:28,True
Terminal,2022-04-16 02:47:15,2022-04-16 05:29:34,0 days 02:42:19,True
Cursor,2022-09-13 22:48:34,2022-09-14 01:28:40,0 days 02:40:06,True
youtube.com,2024-09-27 08:45:29,2024-09-27 10:30:30,0 days 01:45:01,False
Cursor,2024-07-07 00:22:18,2024-07-07 01:34:33,0 days 01:12:15,True
Terminal,2022-01-10 01:19:51,2022-01-10 05:14:56,0 days 03:55:05,True
Terminal,2022-04-26 23:32:49,2022-04-27 00:18:11,0 days 00:45:22,True
Cursor,2023-03-02 00:34:33,2023-03-02 00:53:59,0 days 00:19:26,True
Cursor,2024-08-04 15:42:18,2024-08-04 19:09:02,0 days 03:26:44,True
Cursor,2021-11-22 03:24:39,2021-11-22 05:36:34,0 days 02:11:55,True
tiktok.com,2024-06-06 00:33:39,2024-06-06 01:18:24,0 days 00:44:45,False
youtube.com,2023-08-03 19:59:26,2023-08-03 23:37:54,0 days 03:38:28,False
Terminal,2022-02-23 06:41:55,2022-02-23 06:52:43,0 days 00:10:48,True
tiktok.com,2024-06-28 18:30:02,2024-06-28 21:27:20,0 days 02:57:18,False
Cursor,2021-11-28 11:07:11,2021-11-28 12:17:51,0 days 01:10:40,True
Terminal,2024-04-01 18:24:46,2024-04-01 21:01:27,0 days 02:36:41,True
VSCode,2023-01-11 11:08:37,2023-01-11 13:04:06,0 days 01:55:29,True
youtube.com,2023-08-28 15:46:45,2023-08-28 17:42:40,0 days 01:55:55,False
Terminal,2024-02-20 21:11:45,2024-02-20 23:48:34,0 days 02:36:49,True
Terminal,2023-07-11 03:12:24,2023-07-11 05:43:44,0 days 02:31:20,True
Cursor,2024-03-17 19:35:28,2024-03-17 19:43:32,0 days 00:08:04,True
Terminal,2023-04-29 11:36:09,2023-04-29 14:47:22,0 days 03:11:13,True
Terminal,2022-11-16 18:03:34,2022-11-16 20:57:14,0 days 02:53:40,True
VSCode,2021-11-02 03:49:17,2021-11-02 06:11:47,0 days 02:22:30,True
google.com,2024-02-14 23:11:25,2024-02-14 23:39:55,0 days 00:28:30,True
google.com,2023-01-28 08:38:06,2023-01-28 12:10:37,0 days 03:32:31,True
Cursor,2024-01-22 15:58:36,2024-01-22 18:10:27,0 days 02:11:51,True
youtube.com,2023-09-09 05:03:45,2023-09-09 06:15:14,0 days 01:11:29,False
VSCode,2024-01-08 09:58:06,2024-01-08 12:56:51,0 days 02:58:45,True
youtube.com,2023-11-25 23:12:18,2023-11-26 00:46:43,0 days 01:34:25,False
Cursor,2024-01-29 09:54:19,2024-01-29 13:06:52,0 days 03:12:33,True
Cursor,2022-06-23 06:17:36,2022-06-23 08:30:39,0 days 02:13:03,True
Cursor,2023-06-27 10:25:32,2023-06-27 12:33:05,0 days 02:07:33,True
Terminal,2024-08-19 02:14:03,2024-08-19 05:13:04,0 days 02:59:01,True
google.com,2023-04-11 03:44:22,2023-04-11 04:36:39,0 days 00:52:17,True
Cursor,2022-01-30 11:44:36,2022-01-30 14:41:03,0 days 02:56:27,True
youtube.com,2021-12-04 16:55:03,2021-12-04 20:11:42,0 days 03:16:39,False
VSCode,2021-12-12 05:20:24,2021-12-12 07:01:32,0 days 01:41:08,True
VSCode,2023-02-02 02:31:05,2023-02-02 05:10:38,0 days 02:39:33,True
Terminal,2022-04-19 09:59:20,2022-04-19 12:26:44,0 days 02:27:24,True
Terminal,2023-03-28 14:07:13,2023-03-28 14:12:57,0 days 00:05:44,True
Cursor,2022-08-17 03:28:06,2022-08-17 03:54:48,0 days 00:26:42,True
VSCode,2022-10-22 00:59:01,2022-10-22 04:19:47,0 days 03:20:46,True
VSCode,2023-06-21 02:21:17,2023-06-21 05:57:44,0 days 03:36:27,True
google.com,2024-01-04 16:13:50,2024-01-04 19:02:31,0 days 02:48:41,True
Terminal,2024-08-11 01:34:59,2024-08-11 04:13:06,0 days 02:38:07,True
youtube.com,2022-02-26 00:00:53,2022-02-26 00:36:08,0 days 00:35:15,False
Terminal,2024-03-16 14:53:47,2024-03-16 16:46:49,0 days 01:53:02,True
google.com,2023-05-26 15:05:54,2023-05-26 16:33:45,0 days 01:27:51,True
tiktok.com,2021-11-10 09:44:33,2021-11-10 12:28:57,0 days 02:44:24,False
tiktok.com,2022-04-01 11:43:24,2022-04-01 12:41:35,0 days 00:58:11,False
